"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45408699944.838;2;1;64;78;;;;;;;;;"26.04.2024 16:47:55";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408699956.3542;2;0;64;78;;;;;;;;;"26.04.2024 16:47:56";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408703288.1945;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 16:52:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408703288.1945;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 16:52:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408710232.7083;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 17:02:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408710232.7083;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 17:02:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408710893.5069;2;1;64;78;;;;;;;;;"26.04.2024 17:03:41";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408710905.2894;2;0;64;78;;;;;;;;;"26.04.2024 17:03:42";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408717177.2107;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 17:12:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408717177.2107;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 17:12:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408724110.5903;2;1;64;78;;;;;;;;;"26.04.2024 17:22:43";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408724121.7014;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 17:22:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408724121.7014;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 17:22:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408724122.2917;2;0;64;78;;;;;;;;;"26.04.2024 17:22:44";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408731066.2384;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 17:32:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408731066.2384;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 17:32:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408731251.5856;2;1;64;78;;;;;;;;;"26.04.2024 17:33:00";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408731274.7338;2;0;64;78;;;;;;;;;"26.04.2024 17:33:02";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408738010.7176;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 17:42:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408738010.7176;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 17:42:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408738936.3657;2;1;64;78;;;;;;;;;"26.04.2024 17:44:04";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408738947.9167;2;0;64;78;;;;;;;;;"26.04.2024 17:44:05";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408741366.8866;2;1;64;78;;;;;;;;;"26.04.2024 17:47:34";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408741378.4606;2;0;64;78;;;;;;;;;"26.04.2024 17:47:35";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408742153.8773;2;1;64;78;;;;;;;;;"26.04.2024 17:48:42";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408742165.4745;2;0;64;78;;;;;;;;;"26.04.2024 17:48:43";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408743635.2546;2;1;64;78;;;;;;;;;"26.04.2024 17:50:50";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408743647.0139;2;0;64;78;;;;;;;;;"26.04.2024 17:50:51";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
