"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45464148902.9514;2;1;64;78;;;;;;;;;"21.06.2024 03:34:25";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148925.9954;2;0;64;78;;;;;;;;;"21.06.2024 03:34:27";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148972.2801;2;1;64;78;;;;;;;;;"21.06.2024 03:34:31";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148983.9699;2;0;64;78;;;;;;;;;"21.06.2024 03:34:32";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149006.9445;2;1;64;78;;;;;;;;;"21.06.2024 03:34:34";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149030.2083;2;0;64;78;;;;;;;;;"21.06.2024 03:34:36";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149053.2986;2;1;64;78;;;;;;;;;"21.06.2024 03:34:38";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149088.0208;2;0;64;78;;;;;;;;;"21.06.2024 03:34:41";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149203.7616;2;1;64;78;;;;;;;;;"21.06.2024 03:34:51";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149250.1042;2;0;64;78;;;;;;;;;"21.06.2024 03:34:55";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149261.5741;2;1;64;78;;;;;;;;;"21.06.2024 03:34:56";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149284.8264;2;0;64;78;;;;;;;;;"21.06.2024 03:34:58";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149296.3426;2;1;64;78;;;;;;;;;"21.06.2024 03:34:59";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149307.9282;2;0;64;78;;;;;;;;;"21.06.2024 03:35:00";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149388.8773;2;1;64;78;;;;;;;;;"21.06.2024 03:35:07";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149400.5093;2;0;64;78;;;;;;;;;"21.06.2024 03:35:08";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149412.0949;2;1;64;78;;;;;;;;;"21.06.2024 03:35:09";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149423.6574;2;0;64;78;;;;;;;;;"21.06.2024 03:35:10";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149504.6759;2;1;64;78;;;;;;;;;"21.06.2024 03:35:17";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149550.9028;2;0;64;78;;;;;;;;;"21.06.2024 03:35:21";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149666.6435;2;1;64;78;;;;;;;;;"21.06.2024 03:35:31";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149689.9074;2;0;64;78;;;;;;;;;"21.06.2024 03:35:33";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149713.0093;2;1;64;78;;;;;;;;;"21.06.2024 03:35:35";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149770.9259;2;0;64;78;;;;;;;;;"21.06.2024 03:35:40";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149851.875;2;1;64;78;;;;;;;;;"21.06.2024 03:35:47";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464149863.5069;2;0;64;78;;;;;;;;;"21.06.2024 03:35:48";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150002.2801;2;1;64;78;;;;;;;;;"21.06.2024 03:36:00";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150048.75;2;0;64;78;;;;;;;;;"21.06.2024 03:36:04";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150060.2083;2;1;64;78;;;;;;;;;"21.06.2024 03:36:05";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150071.7824;2;0;64;78;;;;;;;;;"21.06.2024 03:36:06";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150106.5625;2;1;64;78;;;;;;;;;"21.06.2024 03:36:09";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150129.5949;2;0;64;78;;;;;;;;;"21.06.2024 03:36:11";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150164.375;2;1;64;78;;;;;;;;;"21.06.2024 03:36:14";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150210.7292;2;0;64;78;;;;;;;;;"21.06.2024 03:36:18";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150233.8773;2;1;64;78;;;;;;;;;"21.06.2024 03:36:20";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150245.3935;2;0;64;78;;;;;;;;;"21.06.2024 03:36:21";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150268.6574;2;1;64;78;;;;;;;;;"21.06.2024 03:36:23";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150280.0463;2;0;64;78;;;;;;;;;"21.06.2024 03:36:24";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150303.2639;2;1;64;78;;;;;;;;;"21.06.2024 03:36:26";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150349.6644;2;0;64;78;;;;;;;;;"21.06.2024 03:36:30";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150372.6968;2;1;64;78;;;;;;;;;"21.06.2024 03:36:32";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150430.5671;2;0;64;78;;;;;;;;;"21.06.2024 03:36:37";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150453.7153;2;1;64;78;;;;;;;;;"21.06.2024 03:36:39";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150546.2384;2;0;64;78;;;;;;;;;"21.06.2024 03:36:47";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150638.9236;2;1;64;78;;;;;;;;;"21.06.2024 03:36:55";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150662.0949;2;0;64;78;;;;;;;;;"21.06.2024 03:36:57";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150685.1852;2;1;64;78;;;;;;;;;"21.06.2024 03:36:59";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150708.287;2;0;64;78;;;;;;;;;"21.06.2024 03:37:01";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150754.6296;2;1;64;78;;;;;;;;;"21.06.2024 03:37:05";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150847.2801;2;0;64;78;;;;;;;;;"21.06.2024 03:37:13";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150916.6667;2;1;64;78;;;;;;;;;"21.06.2024 03:37:19";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150951.4468;2;0;64;78;;;;;;;;;"21.06.2024 03:37:22";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464150974.537;2;1;64;78;;;;;;;;;"21.06.2024 03:37:24";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151043.9352;2;0;64;78;;;;;;;;;"21.06.2024 03:37:30";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151078.6921;2;1;64;78;;;;;;;;;"21.06.2024 03:37:33";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151159.7106;2;0;64;78;;;;;;;;;"21.06.2024 03:37:40";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151217.5116;2;1;64;78;;;;;;;;;"21.06.2024 03:37:45";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151229.1435;2;0;64;78;;;;;;;;;"21.06.2024 03:37:46";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151252.3495;2;1;64;78;;;;;;;;;"21.06.2024 03:37:48";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151263.8657;2;0;64;78;;;;;;;;;"21.06.2024 03:37:49";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151286.956;2;1;64;78;;;;;;;;;"21.06.2024 03:37:51";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151298.588;2;0;64;78;;;;;;;;;"21.06.2024 03:37:52";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151310.1736;2;1;64;78;;;;;;;;;"21.06.2024 03:37:53";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151344.9537;2;0;64;78;;;;;;;;;"21.06.2024 03:37:56";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151402.6968;2;1;64;78;;;;;;;;;"21.06.2024 03:38:01";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151449.0509;2;0;64;78;;;;;;;;;"21.06.2024 03:38:05";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151530.1157;2;1;64;78;;;;;;;;;"21.06.2024 03:38:12";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151553.2176;2;0;64;78;;;;;;;;;"21.06.2024 03:38:14";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151611.1458;2;1;64;78;;;;;;;;;"21.06.2024 03:38:19";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151668.9583;2;0;64;78;;;;;;;;;"21.06.2024 03:38:24";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464151703.6806;2;1;64;78;;;;;;;;;"21.06.2024 03:38:27";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
